goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
True,True,122.0382,auto,qwen2.5-coder:14b,22,0,0,False,True
1 + 1 = (2::nat),True,91.4169,auto,qwen2.5-coder:14b,34,0,0,False,True
"length [1, 2, 3] = 3",True,127.5115,auto,qwen2.5-coder:14b,38,0,0,False,True
length (rev xs) = length xs,True,88.1489,auto,qwen2.5-coder:14b,45,0,0,False,True
rev (rev xs) = xs,True,89.6921,auto,qwen2.5-coder:14b,35,0,0,False,False
length (xs @ ys) = length xs + length ys,True,87.2568,auto,qwen2.5-coder:14b,58,0,0,False,True
rev (xs @ ys) = rev ys @ rev xs,False,4.5621,auto,qwen2.5-coder:14b,0,0,0,False,False
map f (xs @ ys) = map f xs @ map f ys,True,89.7730,auto,qwen2.5-coder:14b,55,0,0,False,True
sum_list (xs @ ys) = sum_list xs + sum_list ys,True,89.5299,auto,qwen2.5-coder:14b,64,0,0,False,True
filter P (xs @ ys) = filter P xs @ filter P ys,True,87.6125,auto,qwen2.5-coder:14b,64,0,0,False,True
