goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
True,True,121.0200,auto,qwen2.5-coder:14b,22,0,0,False,True
1 + 1 = (2::nat),True,93.5215,auto,qwen2.5-coder:14b,34,0,0,False,True
"length [1, 2, 3] = 3",True,91.0661,auto,qwen2.5-coder:14b,38,0,0,False,True
length (rev xs) = length xs,True,89.9551,auto,qwen2.5-coder:14b,45,0,0,False,True
rev (rev xs) = xs,True,98.3323,auto,qwen2.5-coder:14b,35,0,0,False,True
length (xs @ ys) = length xs + length ys,True,90.1926,auto,qwen2.5-coder:14b,58,0,0,False,True
rev (xs @ ys) = rev ys @ rev xs,True,91.7591,auto,qwen2.5-coder:14b,49,0,0,False,True
map f (xs @ ys) = map f xs @ map f ys,True,88.4402,auto,qwen2.5-coder:14b,55,0,0,False,True
sum_list (xs @ ys) = sum_list xs + sum_list ys,True,91.9526,auto,qwen2.5-coder:14b,64,0,0,False,True
filter P (xs @ ys) = filter P xs @ filter P ys,True,94.2048,auto,qwen2.5-coder:14b,64,0,0,False,True
