goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
True,True,288.1461,auto,qwen2.5-coder:14b,123,3,0,False,True
1 + 1 = (2::nat),True,164.1210,auto,qwen2.5-coder:14b,133,0,0,False,True
"length [1, 2, 3] = 3",True,135.4138,auto,qwen2.5-coder:14b,160,0,0,False,True
length (rev xs) = length xs,True,152.8721,auto,qwen2.5-coder:14b,362,1,0,False,True
rev (rev xs) = xs,False,209.8325,auto,qwen2.5-coder:14b,352,0,0,False,False
length (xs @ ys) = length xs + length ys,True,155.6690,auto,qwen2.5-coder:14b,332,1,0,False,True
rev (xs @ ys) = rev ys @ rev xs,False,197.9988,auto,qwen2.5-coder:14b,317,0,0,False,False
map f (xs @ ys) = map f xs @ map f ys,True,107.6599,auto,qwen2.5-coder:14b,311,0,0,False,True
sum_list (xs @ ys) = sum_list xs + sum_list ys,False,164.8185,auto,qwen2.5-coder:14b,326,0,0,False,False
filter P (xs @ ys) = filter P xs @ filter P ys,False,216.8252,auto,qwen2.5-coder:14b,378,0,0,False,False
