goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,221.6624,auto,qwen2.5-coder:14b,418,1,0,False,True
length (map f xs) = length xs,True,133.5071,auto,qwen2.5-coder:14b,281,0,0,False,True
rev (map f xs) = map f (rev xs),False,255.8573,auto,qwen2.5-coder:14b,417,0,1,False,False
filter (\<lambda>x. True) xs = xs,True,131.9824,auto,qwen2.5-coder:14b,219,0,0,False,True
filter (\<lambda>x. False) xs = [],True,124.7827,auto,qwen2.5-coder:14b,220,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,137.6691,auto,qwen2.5-coder:14b,329,1,0,False,True
n + 0 = (n :: nat),True,126.9560,auto,qwen2.5-coder:14b,117,1,0,False,True
0 + n = (n :: nat),True,177.0676,auto,qwen2.5-coder:14b,265,3,0,False,True
Suc n = n + (1 :: nat),True,135.2240,auto,qwen2.5-coder:14b,220,1,0,False,True
(n :: nat) * 0 = 0,True,132.4717,auto,qwen2.5-coder:14b,200,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,159.1591,auto,qwen2.5-coder:14b,388,1,0,False,True
sum_list (map f []) = (0 :: nat),True,124.4194,auto,qwen2.5-coder:14b,160,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,149.0204,auto,qwen2.5-coder:14b,388,0,0,False,True
map id xs = xs,True,131.9285,auto,qwen2.5-coder:14b,217,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,153.6442,auto,qwen2.5-coder:14b,353,0,0,False,True
take n xs @ drop n xs = xs,True,243.4670,auto,qwen2.5-coder:14b,391,0,0,False,True
length (take n xs) \<le> length xs,False,218.0764,auto,qwen2.5-coder:14b,351,0,0,False,False
xs @ [] = xs,True,122.8191,auto,qwen2.5-coder:14b,200,0,0,False,True
[] @ xs = xs,True,133.6266,auto,qwen2.5-coder:14b,184,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,132.3345,auto,qwen2.5-coder:14b,305,0,0,False,True
