goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),True,12.3030,auto,qwen2.5-coder:14b,65,0,0,False,True
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,17.0335,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,21.3822,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,16.6729,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,True,17.7461,auto,qwen2.5-coder:14b,39,0,0,False,True
sum_list (xs @ ys) \<ge> sum_list xs,False,884.2034,auto,qwen2.5-coder:14b,325,0,0,True,True
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,False,793.6254,auto,qwen2.5-coder:14b,313,0,0,True,True
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,True,18.1085,auto,qwen2.5-coder:14b,88,0,0,False,True
foldr (#) xs [] = xs,False,791.3969,auto,qwen2.5-coder:14b,340,0,0,True,True
length (concat xss) = sum_list (map length xss),True,243.8270,auto,qwen2.5-coder:14b,377,0,1,False,True
take (length xs) xs = xs,True,17.4534,auto,qwen2.5-coder:14b,42,0,0,False,True
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,16.9204,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,False,868.4177,auto,qwen2.5-coder:14b,466,0,0,True,True
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,19.4688,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,789.7480,auto,qwen2.5-coder:14b,376,0,0,True,True
