goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,160.5302,auto,qwen2.5-coder:14b,513,0,0,False,True
length (map f xs) = length xs,True,103.0207,auto,qwen2.5-coder:14b,306,0,0,False,True
rev (map f xs) = map f (rev xs),True,156.5116,auto,qwen2.5-coder:14b,390,2,0,False,True
filter (\<lambda>x. True) xs = xs,True,100.2277,auto,qwen2.5-coder:14b,294,0,0,False,True
filter (\<lambda>x. False) xs = [],True,117.8955,auto,qwen2.5-coder:14b,244,1,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,105.1096,auto,qwen2.5-coder:14b,320,1,0,False,True
n + 0 = (n :: nat),True,110.5719,auto,qwen2.5-coder:14b,123,1,0,False,True
0 + n = (n :: nat),True,129.3211,auto,qwen2.5-coder:14b,207,2,0,False,True
Suc n = n + (1 :: nat),True,131.8471,auto,qwen2.5-coder:14b,198,0,0,False,True
(n :: nat) * 0 = 0,True,97.4563,auto,qwen2.5-coder:14b,171,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,False,285.5221,auto,qwen2.5-coder:14b,540,0,0,True,True
sum_list (map f []) = (0 :: nat),True,98.5075,auto,qwen2.5-coder:14b,116,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,136.9043,auto,qwen2.5-coder:14b,398,2,0,False,True
map id xs = xs,True,106.6609,auto,qwen2.5-coder:14b,248,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,101.9919,auto,qwen2.5-coder:14b,359,0,0,False,True
take n xs @ drop n xs = xs,True,115.5495,auto,qwen2.5-coder:14b,217,1,0,False,True
length (take n xs) \<le> length xs,False,199.3176,auto,qwen2.5-coder:14b,353,0,0,False,False
xs @ [] = xs,True,98.7925,auto,qwen2.5-coder:14b,251,0,0,False,True
[] @ xs = xs,True,104.0792,auto,qwen2.5-coder:14b,294,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,103.3033,auto,qwen2.5-coder:14b,305,0,0,False,True
