goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),True,118.5400,auto,qwen2.5-coder:14b,65,0,0,False,True
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,87.5958,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,92.0552,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,84.2039,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,True,84.6792,auto,qwen2.5-coder:14b,39,0,0,False,True
sum_list (xs @ ys) \<ge> sum_list xs,False,473.2709,auto,qwen2.5-coder:14b,325,0,0,True,True
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,True,326.8291,auto,qwen2.5-coder:14b,342,2,0,False,True
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,True,85.7769,auto,qwen2.5-coder:14b,88,0,0,False,True
foldr (#) xs [] = xs,True,200.0683,auto,qwen2.5-coder:14b,331,0,0,False,True
length (concat xss) = sum_list (map length xss),True,187.8074,auto,qwen2.5-coder:14b,377,0,0,False,True
take (length xs) xs = xs,True,80.5820,auto,qwen2.5-coder:14b,42,0,0,False,True
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,84.0574,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,True,325.8578,auto,qwen2.5-coder:14b,488,1,0,False,True
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,80.3208,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,291.0656,auto,qwen2.5-coder:14b,637,0,0,True,True
