goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),True,133.5024,auto,qwen2.5-coder:14b,65,0,0,False,True
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,103.4613,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,89.5379,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,80.4984,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,True,130.3456,auto,qwen2.5-coder:14b,39,0,0,False,True
sum_list (xs @ ys) \<ge> sum_list xs,False,362.5715,auto,qwen2.5-coder:14b,446,0,0,True,True
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,False,290.9072,auto,qwen2.5-coder:14b,359,2,0,False,False
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,True,97.1020,auto,qwen2.5-coder:14b,88,0,0,False,True
foldr (#) xs [] = xs,False,326.2278,auto,qwen2.5-coder:14b,212,0,0,True,True
length (concat xss) = sum_list (map length xss),True,188.5572,auto,qwen2.5-coder:14b,377,0,0,False,True
take (length xs) xs = xs,True,82.5863,auto,qwen2.5-coder:14b,42,0,0,False,True
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,86.3798,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,False,513.3313,auto,qwen2.5-coder:14b,460,0,0,True,True
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,86.7978,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,351.5366,auto,qwen2.5-coder:14b,0,0,0,False,False
