goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),True,14.5852,auto,qwen2.5-coder:14b,65,0,0,False,True
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,18.4523,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,22.5950,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,18.3118,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,True,19.3768,auto,qwen2.5-coder:14b,39,0,0,False,True
sum_list (xs @ ys) \<ge> sum_list xs,False,236.4350,auto,qwen2.5-coder:14b,367,0,1,False,False
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,False,780.7122,auto,qwen2.5-coder:14b,338,0,0,True,True
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,True,20.9471,auto,qwen2.5-coder:14b,88,0,0,False,True
foldr (#) xs [] = xs,True,242.6156,auto,qwen2.5-coder:14b,334,0,1,False,True
length (concat xss) = sum_list (map length xss),True,242.7257,auto,qwen2.5-coder:14b,377,0,1,False,True
take (length xs) xs = xs,True,18.3635,auto,qwen2.5-coder:14b,42,0,0,False,True
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,18.6421,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,False,2036.0123,auto,qwen2.5-coder:14b,464,0,0,True,True
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,19.2362,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,1373.4040,auto,qwen2.5-coder:14b,478,0,0,True,True
