goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,181.1411,auto,qwen2.5-coder:14b,324,0,0,False,True
length (map f xs) = length xs,False,229.0200,auto,qwen2.5-coder:14b,275,0,1,False,False
rev (map f xs) = map f (rev xs),False,246.4776,auto,qwen2.5-coder:14b,430,0,1,False,False
filter (\<lambda>x. True) xs = xs,True,226.7217,auto,qwen2.5-coder:14b,327,0,0,False,True
filter (\<lambda>x. False) xs = [],True,128.3780,auto,qwen2.5-coder:14b,247,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,153.5991,auto,qwen2.5-coder:14b,331,1,0,False,True
n + 0 = (n :: nat),True,139.8620,auto,qwen2.5-coder:14b,121,2,0,False,True
0 + n = (n :: nat),False,230.1213,auto,qwen2.5-coder:14b,349,0,1,False,False
Suc n = n + (1 :: nat),True,110.8837,auto,qwen2.5-coder:14b,156,0,0,False,True
(n :: nat) * 0 = 0,True,156.4340,auto,qwen2.5-coder:14b,201,2,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,224.9461,auto,qwen2.5-coder:14b,461,0,0,False,True
sum_list (map f []) = (0 :: nat),True,112.4332,auto,qwen2.5-coder:14b,177,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,144.0833,auto,qwen2.5-coder:14b,350,0,0,False,True
map id xs = xs,True,137.0943,auto,qwen2.5-coder:14b,311,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,156.0758,auto,qwen2.5-coder:14b,369,0,0,False,True
take n xs @ drop n xs = xs,True,244.8061,auto,qwen2.5-coder:14b,391,0,0,False,True
length (take n xs) \<le> length xs,True,207.5678,auto,qwen2.5-coder:14b,312,1,0,False,True
xs @ [] = xs,True,126.9250,auto,qwen2.5-coder:14b,200,0,0,False,True
[] @ xs = xs,True,132.7574,auto,qwen2.5-coder:14b,282,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,202.2511,auto,qwen2.5-coder:14b,283,0,0,False,True
