goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,120.9487,auto,qwen2.5-coder:14b,50,0,0,False,True
length (map f xs) = length xs,True,82.3338,auto,qwen2.5-coder:14b,47,0,0,False,True
rev (map f xs) = map f (rev xs),False,118.9519,auto,qwen2.5-coder:14b,0,0,0,False,True
filter (\<lambda>x. True) xs = xs,True,84.1021,auto,qwen2.5-coder:14b,51,0,0,False,True
filter (\<lambda>x. False) xs = [],True,83.9336,auto,qwen2.5-coder:14b,52,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,83.1675,auto,qwen2.5-coder:14b,56,0,0,False,True
n + 0 = (n :: nat),True,82.7339,auto,qwen2.5-coder:14b,36,0,0,False,True
0 + n = (n :: nat),True,82.5410,auto,qwen2.5-coder:14b,36,0,0,False,True
Suc n = n + (1 :: nat),True,79.8615,auto,qwen2.5-coder:14b,40,0,0,False,True
(n :: nat) * 0 = 0,True,80.1924,auto,qwen2.5-coder:14b,36,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,79.0941,auto,qwen2.5-coder:14b,75,0,0,False,True
sum_list (map f []) = (0 :: nat),True,79.9378,auto,qwen2.5-coder:14b,50,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,79.9903,auto,qwen2.5-coder:14b,63,0,0,False,True
map id xs = xs,True,82.1314,auto,qwen2.5-coder:14b,32,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,84.5046,auto,qwen2.5-coder:14b,65,0,0,False,True
take n xs @ drop n xs = xs,True,81.8680,auto,qwen2.5-coder:14b,44,0,0,False,True
length (take n xs) \<le> length xs,True,80.0112,auto,qwen2.5-coder:14b,52,0,0,False,True
xs @ [] = xs,True,82.9511,auto,qwen2.5-coder:14b,30,0,0,False,True
[] @ xs = xs,True,83.1266,auto,qwen2.5-coder:14b,30,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,83.7872,auto,qwen2.5-coder:14b,64,0,0,False,True
