goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),True,116.2847,auto,qwen2.5-coder:14b,65,0,0,False,True
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,90.6170,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,98.2000,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,87.3899,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,True,87.2791,auto,qwen2.5-coder:14b,39,0,0,False,True
sum_list (xs @ ys) \<ge> sum_list xs,False,458.5983,auto,qwen2.5-coder:14b,324,0,0,True,True
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,False,324.6712,auto,qwen2.5-coder:14b,360,2,0,False,False
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,True,90.4633,auto,qwen2.5-coder:14b,88,0,0,False,True
foldr (#) xs [] = xs,False,257.5257,auto,qwen2.5-coder:14b,234,0,0,True,True
length (concat xss) = sum_list (map length xss),True,211.4983,auto,qwen2.5-coder:14b,365,0,0,False,True
take (length xs) xs = xs,True,88.5001,auto,qwen2.5-coder:14b,42,0,0,False,True
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,88.3874,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,True,217.5680,auto,qwen2.5-coder:14b,632,0,0,False,True
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,90.7703,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,348.9445,auto,qwen2.5-coder:14b,616,0,0,True,True
