goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,145.1326,auto,qwen2.5-coder:14b,50,0,0,False,True
length (map f xs) = length xs,True,85.4651,auto,qwen2.5-coder:14b,47,0,0,False,True
rev (map f xs) = map f (rev xs),True,118.9204,auto,qwen2.5-coder:14b,60,0,0,False,True
filter (\<lambda>x. True) xs = xs,False,4.7988,auto,qwen2.5-coder:14b,0,0,0,False,True
filter (\<lambda>x. False) xs = [],True,83.9725,auto,qwen2.5-coder:14b,52,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,79.9185,auto,qwen2.5-coder:14b,56,0,0,False,True
n + 0 = (n :: nat),False,83.1609,auto,qwen2.5-coder:14b,36,0,0,False,False
0 + n = (n :: nat),False,81.8150,auto,qwen2.5-coder:14b,36,0,0,False,False
Suc n = n + (1 :: nat),True,82.0265,auto,qwen2.5-coder:14b,40,0,0,False,True
(n :: nat) * 0 = 0,True,80.8377,auto,qwen2.5-coder:14b,36,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,82.6507,auto,qwen2.5-coder:14b,75,0,0,False,True
sum_list (map f []) = (0 :: nat),True,83.6166,auto,qwen2.5-coder:14b,50,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,83.8183,auto,qwen2.5-coder:14b,63,0,0,False,True
map id xs = xs,True,81.5960,auto,qwen2.5-coder:14b,32,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,83.1165,auto,qwen2.5-coder:14b,65,0,0,False,True
take n xs @ drop n xs = xs,True,82.8641,auto,qwen2.5-coder:14b,44,0,0,False,True
length (take n xs) \<le> length xs,False,81.7832,auto,qwen2.5-coder:14b,52,0,0,False,False
xs @ [] = xs,True,79.9211,auto,qwen2.5-coder:14b,30,0,0,False,True
[] @ xs = xs,False,89.5445,auto,qwen2.5-coder:14b,30,0,0,False,False
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,85.0055,auto,qwen2.5-coder:14b,64,0,0,False,True
