goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,113.4236,auto,qwen2.5-coder:14b,50,0,0,False,True
length (map f xs) = length xs,True,87.2883,auto,qwen2.5-coder:14b,47,0,0,False,True
rev (map f xs) = map f (rev xs),True,106.3291,auto,qwen2.5-coder:14b,60,0,0,False,True
filter (\<lambda>x. True) xs = xs,True,95.3789,auto,qwen2.5-coder:14b,51,0,0,False,True
filter (\<lambda>x. False) xs = [],True,92.4055,auto,qwen2.5-coder:14b,52,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,89.4392,auto,qwen2.5-coder:14b,56,0,0,False,True
n + 0 = (n :: nat),True,86.0856,auto,qwen2.5-coder:14b,36,0,0,False,True
0 + n = (n :: nat),True,89.3204,auto,qwen2.5-coder:14b,36,0,0,False,True
Suc n = n + (1 :: nat),True,89.2206,auto,qwen2.5-coder:14b,40,0,0,False,True
(n :: nat) * 0 = 0,True,88.3176,auto,qwen2.5-coder:14b,36,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,86.7276,auto,qwen2.5-coder:14b,75,0,0,False,True
sum_list (map f []) = (0 :: nat),True,88.1305,auto,qwen2.5-coder:14b,50,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,89.3620,auto,qwen2.5-coder:14b,63,0,0,False,True
map id xs = xs,True,88.2234,auto,qwen2.5-coder:14b,32,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,88.3597,auto,qwen2.5-coder:14b,65,0,0,False,True
take n xs @ drop n xs = xs,True,90.4416,auto,qwen2.5-coder:14b,44,0,0,False,True
length (take n xs) \<le> length xs,True,93.1940,auto,qwen2.5-coder:14b,52,0,0,False,True
xs @ [] = xs,True,87.2124,auto,qwen2.5-coder:14b,30,0,0,False,True
[] @ xs = xs,True,89.6934,auto,qwen2.5-coder:14b,30,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,89.8429,auto,qwen2.5-coder:14b,64,0,0,False,True
