goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,118.5182,auto,qwen2.5-coder:14b,50,0,0,False,True
length (map f xs) = length xs,True,91.3440,auto,qwen2.5-coder:14b,47,0,0,False,True
rev (map f xs) = map f (rev xs),True,111.8273,auto,qwen2.5-coder:14b,60,0,0,False,True
filter (\<lambda>x. True) xs = xs,True,88.4101,auto,qwen2.5-coder:14b,51,0,0,False,True
filter (\<lambda>x. False) xs = [],True,90.0822,auto,qwen2.5-coder:14b,52,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,93.5853,auto,qwen2.5-coder:14b,56,0,0,False,True
n + 0 = (n :: nat),True,91.7943,auto,qwen2.5-coder:14b,36,0,0,False,True
0 + n = (n :: nat),False,7.4714,auto,qwen2.5-coder:14b,0,0,0,False,True
Suc n = n + (1 :: nat),True,87.2075,auto,qwen2.5-coder:14b,40,0,0,False,True
(n :: nat) * 0 = 0,False,28.7332,auto,qwen2.5-coder:14b,0,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,87.5204,auto,qwen2.5-coder:14b,75,0,0,False,True
sum_list (map f []) = (0 :: nat),False,37.4418,auto,qwen2.5-coder:14b,0,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),False,74.5737,auto,qwen2.5-coder:14b,0,0,0,False,True
map id xs = xs,False,85.4547,auto,qwen2.5-coder:14b,32,0,0,False,False
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,98.2868,auto,qwen2.5-coder:14b,65,0,0,False,True
take n xs @ drop n xs = xs,False,4.8008,auto,qwen2.5-coder:14b,0,0,0,False,True
length (take n xs) \<le> length xs,True,90.0253,auto,qwen2.5-coder:14b,52,0,0,False,True
xs @ [] = xs,False,88.9805,auto,qwen2.5-coder:14b,30,0,0,False,False
[] @ xs = xs,True,92.2206,auto,qwen2.5-coder:14b,30,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,90.0744,auto,qwen2.5-coder:14b,64,0,0,False,True
