goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
True,True,180.2141,auto,qwen2.5-coder:14b,123,3,0,False,True
1 + 1 = (2::nat),False,134.2787,auto,qwen2.5-coder:14b,67,0,0,False,False
"length [1, 2, 3] = 3",False,158.1310,auto,qwen2.5-coder:14b,154,0,1,False,False
length (rev xs) = length xs,True,118.4716,auto,qwen2.5-coder:14b,355,1,0,False,True
rev (rev xs) = xs,False,209.9378,auto,qwen2.5-coder:14b,362,0,0,False,False
length (xs @ ys) = length xs + length ys,True,113.5326,auto,qwen2.5-coder:14b,332,1,0,False,True
rev (xs @ ys) = rev ys @ rev xs,True,102.5048,auto,qwen2.5-coder:14b,306,0,0,False,True
map f (xs @ ys) = map f xs @ map f ys,True,102.2860,auto,qwen2.5-coder:14b,315,0,0,False,True
sum_list (xs @ ys) = sum_list xs + sum_list ys,False,143.7982,auto,qwen2.5-coder:14b,330,0,0,False,False
filter P (xs @ ys) = filter P xs @ filter P ys,True,99.2151,auto,qwen2.5-coder:14b,308,1,0,False,True
